name,prompt,negative_prompt,description,category
CAMERA_From_Above,"high angle shot, bird's eye view, from above, looking down perspective, overhead angle","from below, worm eye",Overhead angle. Combos: ACTIVITY_Sitting_Relaxed; MOOD_Shy; cozy scenes.,CAMERA
CAMERA_Over_Shoulder,"over shoulder shot, from behind looking forward, back angle, shoulder perspective, rear composition","full frontal, close face",Over-shoulder cinematic. Combos: SCENE styles; ACTIVITY_Gazing_Horizon; MOOD_Melancholic.,CAMERA
CHARACTER_Action_Shot,"(dynamic action pose:1.2), mid-action, motion, speed lines, kinetic energy, action scene, dynamic angle, character in motion","static, standing still, boring pose, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Dynamic action framing. Combos: EFFECTS_Motion_Blur; THEME_Action_Thriller.,CHARACTER
CHARACTER_Group_Shot,"group of characters, ensemble cast, multiple characters, group pose, character lineup, team shot, diverse group, group dynamic","single character, solo, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Group/ensemble framing. Combos: SCENE_*; THEME_Fantasy_Adventure.,CHARACTER
COMPANION_Baby_Dragon,"(baby dragon companion:1.2), small dragon, dragon hatchling, tiny winged lizard, fire-breathing baby, dragon on shoulder, egg nearby","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Baby dragon companion. Combos: SCENE_Dragon_Lair; ARCHETYPE_Male_Mage; THEME_Fantasy_Adventure.,COMPANION
COMPANION_Dog,"dog companion, puppy, dog by side, fluffy dog, loyal companion, dog looking up","cat, dragon, alone",Dog companion. Combos: ACTIVITY_Running; SCENE_Forest_Outdoor; MOOD_Playful. Conflicts: COMPANION_Cat.,COMPANION
COMPANION_Mechanical,"(mechanical companion:1.2), small robot, drone companion, floating robot, mechanical familiar","organic, living creature",Sci-fi companion. Combos: ARCHETYPE_Hacker_Netrunner; SCENE_Cyberpunk_City.,COMPANION
DYNAMICS_Floating_Gravity,"(floating:1.3), zero gravity, levitating, weightless, hair floating up, clothes floating, suspended in air, anti-gravity","standing grounded, normal gravity",Zero gravity/levitation. Combos: ARCHETYPE_Magical_Girl; ACTIVITY_Magic_Casting; LIGHTING_Volumetric_Rays.,EFFECTS
DYNAMICS_Wind_Hair_Clothes,"(hair blowing in wind:1.3), wind effect on clothing, fabric billowing, wind-blown hair, clothes fluttering, dynamic wind, dramatic wind effect","still, static, calm, no movement",Character wind effect. Combos: SCENE_Mountain_Top; ARCHETYPE_Warrior; ACTIVITY_Gazing_Horizon. Adds cinematic drama. Conflicts: ACTIVITY_Sitting_Relaxed.,EFFECTS
VFX_Bokeh,"(bokeh:1.2), depth of field, blurred background, out of focus background, circular bokeh, shallow focus","deep focus, sharp background, flat",Bokeh depth of field. Combos: CAMERA_Face_Close; LIGHTING_Soft_Warm; any portrait. Universal.,EFFECTS
ERA_Ancient_Egypt,"ancient Egypt era, (pharaonic Egypt:1.2), hieroglyphs, pyramids, linen clothing, Egyptian jewelry, Nile civilization, ancient Egyptian","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Ancient Egypt era setting. Combos: SCENE_Ancient_Egypt_Temple; THEME_Historical_Ancient.,ERA
ERA_Feudal_Japan,"(feudal japan:1.2), edo period, samurai era, traditional japanese, ukiyo-e inspired setting, feudal architecture","modern, western, futuristic",Feudal Japan setting. Combos: ARCHETYPE_Kunoichi; OUTFIT_Traditional_Japanese; SCENE_Japanese_Night.,ERA
ERA_Retro_Futurism,"(retro futurism:1.2), 50s sci-fi aesthetic, atomic age, space age design, chrome and optimism, raygun gothic","gritty, dark, medieval, organic",50s/60s retro sci-fi optimism. Combos: STYLE_Action_Game_Art; LIGHTING_Bright_Clinical.,ERA
EXPRESSION_Determined,"(determined expression:1.3), set jaw, focused eyes, resolute, unwavering gaze, battle will, strong-willed look","playful, shy, laughing",Resolute determination. Combos: ACTIVITY_Fighting_Pose; MOOD_Fierce; ARCHETYPE_Warrior. Conflicts: EXPRESSION_Laughing.,EXPRESSION
EXPRESSION_Knowing_Smirk,"(knowing smirk:1.2), I know something you don't, secret keeper face, sly grin, mysterious amusement, enigmatic smile, cunning look","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Knowing/smug smirk. Combos: ARCHETYPE_Fortune_Teller; ARCHETYPE_Male_Rogue; MOOD_Mysterious.,EXPRESSION
EXPRESSION_Pout,"(pouting:1.3), puffed cheeks, sulking expression, childish pout, stubborn face, arms crossed expression, slightly furrowed brow","smiling, laughing, serene",Pouty sulking expression. Combos: MOOD_Playful; ARCHETYPE_Idol; BODY_Petite_Small. Conflicts: EXPRESSION_Smug.,EXPRESSION
EXPRESSION_Surprised,"(surprised expression:1.3), wide eyes, open mouth slightly, eyebrows raised, startled, shocked, taken aback","calm, serene, bored",Surprise reaction. Combos: any action scene; MOOD_Playful. Good for storytelling images.,EXPRESSION
EYES_Crimson_Red,"(crimson eyes:1.4), red eyes, blood red iris, vampire eyes, glowing red eyes, scarlet iris, demonic red gaze",natural blue green brown,Red/crimson eyes. Combos: RACE_Vampire; ARCHETYPE_Demon_Queen; EXPRESSION_Yandere. Strong visual.,EYES
EYES_Heterochromia,"(heterochromia:1.4), mismatched eye color, different colored eyes, one blue one red, odd eyes, heterochromatic irises","matching eyes, uniform color",Heterochromia mismatched eyes. Combos: any ARCHETYPE for unique character identifier. Already in BODY but separate EYE entry for easier access.,EYES
HAIR_Ahoge,"(ahoge:1.2), single antenna hair, cowlick, one strand sticking up, cute ahoge","perfectly smooth hair, no stray strands",Cute ahoge. Combos: MOOD_Playful; ARCHETYPE_Magical_Girl; ARCHETYPE_Idol.,HAIR
HAIR_Dreadlocks,"(dreadlocks:1.3), locs, thick dreads, long dreadlocks, natural locs, decorated dreads, beaded dreads","straight hair, silky hair, bob",Dreadlocks hairstyle. Combos: OUTFIT_Streetwear; ARCHETYPE_Warrior; RACE_Dark_Elf_Female. Unique visual identifier.,HAIR
HAIR_Short_Bob,"(short bob:1.3), bob cut, blunt cut, chin length hair, sleek bob, sharp bangs","long hair, twin tails, ponytail",Short bob. Combos: ARCHETYPE_Office_Lady; OUTFIT_Business_Suit; MOOD_Confident. Conflicts: HAIR_Long_Flowing.,HAIR
LIGHTING_Bioluminescent_Glow,"(bioluminescent light:1.3), glowing organisms, blue-green glow, deep sea light, mushroom glow, natural light emission, ethereal underwater light","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Bioluminescent lighting. Combos: SCENE_Crystal_Cave; SCENE_Enchanted_Grove; PALETTE_Cold_Blue.,LIGHTING
LIGHTING_Candlelight,"candlelight, candle flames, warm flickering light, intimate glow, multiple candles, warm orange tones","bright, neon, cold light",Intimate candlelight. Combos: SCENE_Gothic_Castle; SCENE_Library; MOOD_Mysterious.,LIGHTING
LIGHTING_Golden_Hour_Sunset,"golden hour, sunset light, warm golden glow, long shadows, orange sky, sunset colors, magic hour","night, dark, cold",Beautiful sunset. Combos: SCENE_Beach; SCENE_Mountain_Top; ACTIVITY_Gazing_Horizon.,LIGHTING
LIGHTING_Neon_Colorful,"neon lighting, colorful lights, vibrant colors, neon signs, multicolor illumination, electric atmosphere","natural, soft, dim, monochrome",Neon vibrant. Combos: SCENE_Cyberpunk_City; OUTFIT_Cyberpunk; ARCHETYPE_Idol.,LIGHTING
LIGHTING_Overcast_Soft,"overcast sky, diffused natural light, soft shadows, cloudy day lighting, even outdoor light, grey sky","harsh sun, dramatic shadows",Soft natural overcast. Combos: SCENE_Forest_Outdoor; MOOD_Melancholic; SEASON_Autumn_Leaves.,LIGHTING
LIGHTING_Starlight,"(clear starlight:1.2), night sky stars, milky way glow, starfield lighting, astronomical dark sky, rural night, star-lit scene","urban, light pollution, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Clear night starlight. Combos: SCENE_Mountain_Top; SCENE_Desert_Oasis; ATMOSPHERE_Time_Midnight.,LIGHTING
MOOD_Confident,"confident expression, (strong pose:1.2), assertive, self-assured, power stance, direct gaze, chin up","shy, timid, scared, withdrawn",Confident dominant mood. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Business_Suit; BODY_Tall_Elegant. Conflicts: MOOD_Shy.,MOOD
MOOD_Excited,"(excited expression:1.2), bright eyes, big smile, energetic expression, thrilled look, enthusiastic, sparkling eyes, happy excitement","calm, serious, stoic, melancholic",Excited/thrilled mood. Combos: ARCHETYPE_Idol; ACTIVITY_Dancing; ATMOSPHERE_Magical_Sparkles.,MOOD
MOOD_Melancholic,"melancholic expression, (sad eyes:1.2), wistful, distant look, pensive, thoughtful sorrow, gentle tears, lonely","cheerful, laughing, energetic",Melancholy emotional mood. Combos: SCENE_Forest_Outdoor; LIGHTING_Dramatic_Shadow; STYLE_Soft_Pastel. Conflicts: MOOD_Playful.,MOOD
MOOD_Reverent,"(reverent expression:1.2), awe and respect, sacred feeling, in the presence of something greater, worshipful, humble awe, devotion","dismissive, bored, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Reverent/awestruck mood. Combos: RACE_Angel; SCENE_Ancient_Temple_Interior; THEME_Fantasy_Mythology.,MOOD
OUTFIT_Avant_Garde,"(avant-garde fashion:1.3), high fashion, geometric silhouette, architectural outfit, runway fashion, experimental clothing, sculptural garment, oversized shapes, fashion-forward","casual, plain, armor, uniform",Avant-garde high fashion. Combos: PALETTE_High_Contrast; COMPOSITION_Symmetry; MOOD_Confident. Conflicts: OUTFIT_Casual.,OUTFIT
OUTFIT_Cottagecore,"(cottagecore:1.2), floral dress, linen apron, cottage aesthetic, prairie dress, pastoral fashion, soft rural","urban, cyberpunk, armor, dark",Cottagecore pastoral. Combos: SCENE_Forest_Outdoor; SEASON_Spring_Cherry; MOOD_Serene.,OUTFIT
OUTFIT_Fantasy_Armor,"(fantasy armor:1.3), plate armor, pauldrons, gauntlets, greaves, fantasy warrior outfit, ornate armor, battle gear","modern clothes, casual, office, school uniform",Fantasy battle armor. Combos: ARCHETYPE_Warrior; SCENE_Fantasy_Ruins; MOOD_Determined. Conflicts: OUTFIT_Casual.,OUTFIT
OUTFIT_Lab_Coat,"(lab coat:1.2), white lab coat, laboratory coat, scientist coat, lab coat over casual clothes, open lab coat, medical professional look","fantasy, armor, formal evening",Lab coat. Combos: ARCHETYPE_Scientist; ARCHETYPE_Alchemist; LIGHTING_Bright_Clinical.,OUTFIT
OUTFIT_Oversized_Hoodie,"(oversized hoodie:1.2), large hoodie, cozy hoodie, sleeves too long, hoodie dress length, comfortable casual, soft fabric hoodie","formal, armor, fantasy, tight",Cozy oversized hoodie. Combos: MOOD_Shy; ACTIVITY_Gaming; SEASON_Winter_Snow. Very approachable casual.,OUTFIT
OUTFIT_Sportswear,"sportswear, (athletic wear:1.2), sports bra, yoga pants, leggings, running shoes, gym outfit, activewear","formal, armor, fantasy, skirt, dress",Athletic wear. Combos: BODY_Muscular_Fit; ACTIVITY_Stretching; SCENE_Gym. Conflicts: OUTFIT_Evening_Dress.,OUTFIT
OUTFIT_Traditional_Chinese,"(cheongsam:1.3), qipao, traditional chinese dress, silk qipao, mandarin collar, floral embroidery, form-fitting traditional dress, chinese clothing","western, casual, fantasy armor",Chinese cheongsam/qipao. Combos: ERA_Feudal_Japan (adapt); MOOD_Mysterious; LIGHTING_Candlelight. Conflicts: OUTFIT_Cyberpunk.,OUTFIT
PALETTE_Cold_Blue,"(cold blue palette:1.2), icy blue tones, cool colors dominant, steel blue, arctic palette, cold atmosphere","warm, golden, earthy",Cold blue dominant palette. Combos: SEASON_Winter_Snow; LIGHTING_Night_Moonlit; MOOD_Melancholic.,PALETTE
PALETTE_Infrared,"infrared photography style, false color infrared, glowing white foliage, magenta sky, surreal infrared color shift, infrared color palette","natural color, realistic tones",Infrared false color. Combos: SCENE_Forest_Outdoor; WEATHER_Windy; DYNAMICS_Wind_Hair_Clothes. Surreal nature shots.,PALETTE
PALETTE_Teal_Orange,"teal and orange color grading, cinematic color grade, teal shadows orange highlights, Hollywood color grading, blockbuster color palette, film color grade","monochrome, pastel, flat",Hollywood teal-orange grade. Combos: STYLE_Action_Game_Art; SCENE_Cyberpunk_City; VFX_Film_Grain. Industry-standard cinematic look.,PALETTE
POSE_Action_Strike,"(mid-strike pose:1.2), weapon swing, punch or kick, attack motion, dynamic combat, action moment, fighting pose with impact","static, standing, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Combat strike pose. Combos: CHARACTER_Action_Shot; EFFECTS_Motion_Blur; THEME_Action_Thriller.,POSE
POSE_Crouch_Low,"1girl, (crouching:1.2), low crouch, squatting down, knees bent deep, low to ground","standing, upright",Action ready or casual. Combos: ARCHETYPE_Assassin; ARCHETYPE_Kunoichi.,POSE
POSE_Hands_On_Hips,"1girl, (hands on hips:1.2), both hands on waist, akimbo stance, confident hip pose","arms at side, no hip contact",Authority and confidence. Combos: MOOD_Confident; ARCHETYPE_Warrior.,POSE
