name,prompt,negative_prompt,description,category
ACTION_Ass_Worship,"(ass worship:1.4), (kissing ass:1.3), licking ass cheeks, face pressed into ass, nuzzling butt, adoring ass, tongue on ass cheeks, butt adoration","no contact, standing, ignoring",Ass worship — kissing/licking/adoring ass (broader than rimjob). Combos: ACTION_Facesitting; BODY_Thicc_Voluptuous; THEME_Femdom; CAMERA_Ass_Focus.,ACTION
ACTION_Breast_Sucking,"1girl, (breast sucking:1.4), (nipple licking:1.3), mouth on nipple, sucking nipple, licking breast, nipple in mouth, suckling","no contact, distant, not touching",Breast/nipple sucking. Combos: BREASTS_Nipples_Detailed; BREASTS_Lactating; POSE_Cowgirl.,ACTION
ACTION_Cock_Comparison,"(cock comparison:1.4), (penis size comparison:1.3), two cocks side by side, comparing penis sizes, big vs small, size difference between dicks, humiliating comparison","single cock, no comparison, equal size",Cock size comparison — two dicks side by side. Combos: THEME_NTR_Humiliation; THEME_Interracial_BBC; GENITALS_Penis_Small + GENITALS_Penis_Huge.,ACTION
ACTION_Cunnilingus,"1girl, cunnilingus, eating pussy, licking pussy, oral on female, tongue on pussy, pussy licking, face in pussy, going down on her",no oral,Cunnilingus,ACTION
ACTION_Facesitting,"1girl, facesitting, ass on face, smothering, sitting on face, pussy on face, suffocating, ass worship, face buried in ass","standing, not sitting, no contact",Facesitting,ACTION
ACTION_Footjob,"1girl, (footjob:1.4), foot job, penis between feet, cock between toes, feet on cock, foot sex, toes on penis, sole rub on cock","penetration, oral, no feet",Footjob. Combos: CLOTHES_Bare_Feet; CAMERA_From_Above; POSE_Sitting.,ACTION
ACTION_Handjob,"handjob, (stroking penis:1.3), jerking off, hand on cock, penis massage, stroking dick, manual stimulation, hand job",no touching,Handjob,ACTION
ACTION_Kissing,"(kissing:1.3), (deep kiss:1.2), french kiss, making out, lip lock, tongue kiss, passionate kiss, mouth on mouth","no contact, distant, solo",Deep kissing. Hetero or any pairing. See ACTION_Lesbian_Kiss for yuri. Combos: POSE_Missionary; SCENE_Bedroom.,ACTION
ACTION_Masturbation_Female,"1girl, female masturbation, (touching own pussy:1.3), self pleasure, solo masturbation, rubbing pussy, fingering self, pleasuring self","partnered, no touching",Female masturbation,ACTION
ACTION_Paizuri_Titjob,"1girl, paizuri, titjob, (breast fuck:1.3), cock between breasts, penis between tits, tit fucking, breasts squeezing cock, mammary intercourse","no paizuri, flat chest",Paizuri breast sex,ACTION
ACTION_Pole_Dance,"1girl, (pole dancing:1.3), dancing on pole, stripper pole, vertical pole, pole spin, exotic dance on pole, body wrapped around pole","no pole, standing still",Pole dance. Combos: SCENE_Strip_Club; ARCHETYPE_Stripper; LIGHTING_Neon_Colorful; CLOTHES_Lingerie.,ACTION
ACTION_Sex_Machine,"1girl, (sex machine:1.4), (fucking machine:1.3), mechanical dildo, automated penetration, machine fucking, motorized sex device, piston machine, thrusting machine, mechanical device penetrating","human partner, manual, hand",Fucking machine. Combos: SCENE_Dungeon_Basement; THEME_BDSM_Bondage; POSE_Hogtied; POSE_Spread_Legs.,ACTION
ACTION_Spreading_Ass,"1girl, (spreading ass cheeks:1.3), pulling ass apart, parting buttocks, spreading cheeks, ass cheeks pulled open, exposing anus","closed, covered, hidden",Spreading ass cheeks. Combos: GENITALS_Anus_Focus; CAMERA_Ass_Focus; CAMERA_From_Below.,ACTION
ACTION_Surrounded_Males,"1girl, surrounded by males, (multiple boys:1.2), many men surrounding her, men closing in, outnumbered by men, male group","solo, female only, safe distance",Surrounded by males,ACTION
ACTION_Tentacle_Cocoon,"(tentacle cocoon:1.4), (wrapped in tentacles:1.3), tentacle encasement, cocooned by tentacles, body engulfed in tentacle mass, tentacle shell, fully enclosed in tentacles","free, standing, unbound, no tentacles",Fully wrapped/cocooned in tentacles. Combos: THEME_Monster_Tentacle; STATE_Mind_Break; POSE_Hogtied (similar helplessness).,ACTION
ARCHETYPE_Android,"1girl, (android:1.3), (robot girl:1.2), mechanical body parts, cybernetic, synthetic skin, artificial being, humanoid robot, android features, circuit patterns, robotic joints visible","fully human, no mechanical parts, organic only",Android/robot girl. Combos: STYLE_3D_Render; SCENE_Spaceship; RACE_Android_Synthetic; LIGHTING_Bright_Clinical.,ARCHETYPE
ARCHETYPE_Cheerleader,"1girl, cheerleader, (cheerleader outfit:1.2), pom poms, short pleated skirt, team uniform, cheer outfit, athletic socks","formal, casual, no uniform",Cheerleader archetype,ARCHETYPE
ARCHETYPE_Dominatrix,"1girl, (dominatrix:1.4), latex bodysuit, corset, thigh-high boots, holding whip, strict expression, mistress, domme, female dom, BDSM mistress, leather gloves","submissive, casual, soft",Dominatrix archetype. Combos: THEME_Femdom; ACCESSORY_Collar_Chain; EXPRESSION_Smug.,ARCHETYPE
ARCHETYPE_Lolita_Gothic,"1girl, (gothic lolita:1.3), lolita fashion, black frilled dress, petticoat, lace, dark lolita, gothic bow, puffy sleeves, EGL style","casual, sporty, revealing",Gothic lolita. Combos: STYLE_Dark_Gothic; HAIR_Twin_Tails; LIGHTING_Dim_Dark.,ARCHETYPE
ARCHETYPE_Onee_San,"1girl, (mature woman:1.3), (onee-san:1.2), older woman, mature female, elegant mature, adult woman, mature beauty, sophisticated, experienced woman","young, loli, immature",Onee-san / MILF archetype. Combos: THEME_Age_Gap; SCENE_Office; CLOTHES_Stockings_Garter.,ARCHETYPE
ARCHETYPE_Prostitute,"1girl, (prostitute:1.2), streetwalker, escort, sex worker, revealing outfit, waiting on street corner, heavy makeup, provocative pose, red light district","conservative, modest, nun",Prostitute archetype. Combos: SCENE_Alley_Street; THEME_Prostitution; LIGHTING_Neon_Colorful; CLOTHES_Micro_Bikini.,ARCHETYPE
ARCHETYPE_Stripper,"1girl, (stripper:1.3), exotic dancer, pole dancer, strip club performer, revealing costume, stage performer, dollar bills, club dancer","conservative, modest, casual",Stripper archetype. Combos: SCENE_Strip_Club; ACTION_Pole_Dance; ACTION_Striptease; LIGHTING_Neon_Colorful.,ARCHETYPE
BODY_Ass_Huge,"1girl, (huge ass:1.4), (enormous butt:1.3), ass bigger than head, massive rear, oversized buttocks, extreme bubble butt, impossibly large ass","flat ass, small butt, normal proportions, petite",Exaggerated huge ass. Combos: BODY_Thicc_Voluptuous; CAMERA_Ass_Focus; ACTION_Ass_Worship; THEME_QoS_Lifestyle.,BODY
BODY_Male_BBC,"1boy, (dark skinned male:1.4), (black male:1.3), (huge penis:1.4), (BBC:1.3), dark skin, muscular, large penis, veiny cock, massive dark cock, ebony skin","white skin, pale, small penis, female, average size",Black male with BBC — dedicated body style. Replaces manual THEME_Interracial_BBC + BODY_Male_Muscular stacking. Combos: THEME_QoS_Lifestyle; THEME_Interracial_BBC.,BODY
BODY_Pregnant_Gravid,"1girl, pregnant, pregnant belly, gravid, (large belly:1.3), round belly, baby bump, swollen belly, maternal, expecting","flat stomach, slim belly, penis",Pregnant body state,BODY
BREASTS_Flat_Chest,"1girl, (flat chest:1.4), (no breasts:1.3), flat breasts, no chest, board flat, smooth chest, adult flat chest","large breasts, huge breasts, medium",Flat chest adult. Ensure adult character in prompt. Combos: BODY_Petite_Small; THEME_Size_Difference.,BREASTS
BREASTS_Natural_Sagging,"1girl, (sagging breasts:1.3), (natural droop:1.2), hanging breasts, drooping naturally, gravity-affected, natural sag, realistic heavy breasts","perky, uplifted, implants, perfect round",Natural sagging breasts. Combos: BODY_BBW_Plus_Size; BODY_Pregnant_Gravid; ARCHETYPE_Onee_San.,BREASTS
CAMERA_Ass_Focus,"ass focus, (butt focus:1.3), rear view, ass shot, butt close up, from behind view, backside focus, booty shot","front view, face focus",Ass rear focus,CAMERA
CAMERA_From_Above,"from above, bird's eye view, overhead view, looking down, top down view, aerial view, downward angle","from below, eye level",From above angle,CAMERA
CAMERA_Over_Shoulder,"(over shoulder POV:1.3), (behind shoulder angle:1.2), camera behind character shoulder, looking over shoulder, perspective from behind and side","front face view, direct front POV",Over-shoulder angle. Combos: ACTION_Penetration_Vaginal from behind; POSE_Doggystyle; NTR scenes.,CAMERA
CAMERA_Side_Profile,"side view, profile, side angle, from side, lateral view, sideways, profile view, side perspective","front view, from behind",Side profile,CAMERA
CLOTHES_Apron_Naked,"1girl, (naked apron:1.4), (apron only:1.3), nude under apron, wearing only apron, bare back, apron covering front only, kitchen apron on bare body","fully clothed, dressed, shirt under",Naked apron. Top JP fetish. Combos: SCENE_Kitchen; ARCHETYPE_Maid; HAIR_Bun.,CLOTHES
CLOTHES_Bodysuit_Tight,"1girl, (tight bodysuit:1.3), (zentai:1.2), full body suit, spandex bodysuit, catsuit, skin-tight one-piece, skintight suit, form-fitting bodysuit","loose, baggy, formal, nude",Tight bodysuit / catsuit. Combos: ARCHETYPE_Kunoichi; RACE_Android_Synthetic; CLOTHES_Torn_Ripped.,CLOTHES
CLOTHES_Corset,"1girl, (corset:1.3), waist cincher, boned corset, laced corset, tight corset, victorian corset, busked corset","no corset, casual, nude",Corset. Combos: STYLE_Dark_Gothic; ARCHETYPE_Dominatrix; ARCHETYPE_Witch; CLOTHES_Stockings_Garter.,CLOTHES
CLOTHES_Fishnet,"1girl, fishnet, (fishnet stockings:1.2), fishnet bodysuit, mesh clothing, net clothing, fishnet pantyhose, see-through net, body mesh","solid clothing, opaque",Fishnet,CLOTHES
CLOTHES_High_Heels,"1girl, (high heels:1.3), stiletto heels, platform heels, pumps, spike heels, sexy heels, high heel shoes, heeled footwear","barefoot, flat shoes, sneakers",High heels. Universal — pairs with most female archetypes. Combos: ARCHETYPE_Office_Lady; ARCHETYPE_Bunny_Girl.,CLOTHES
CLOTHES_Latex_Leather,"latex, leather, (shiny clothing:1.2), rubber suit, leather outfit, tight latex, glossy outfit, dominatrix outfit, BDSM gear","casual, cotton, normal fabric",Latex leather outfit,CLOTHES
CLOTHES_Micro_Shorts,"1girl, (micro shorts:1.3), (extremely short shorts:1.2), booty shorts, hot pants, ass cheeks visible, barely covering, tight micro shorts","long pants, jeans, skirt, covered",Micro / booty shorts. Shorter than CLOTHES_Denim_Shorts. Combos: BODY_Thicc_Voluptuous; CAMERA_Ass_Focus; THEME_Teasing.,CLOTHES
CLOTHES_Pantyhose,"1girl, (pantyhose:1.3), (tights:1.2), full leg coverage, sheer pantyhose, nylon tights, nude pantyhose, black pantyhose","bare legs, stockings, socks only",Pantyhose / tights — full leg coverage. Different from CLOTHES_Stockings_Garter. Combos: ARCHETYPE_Office_Lady; POSE_Legs_Crossed.,CLOTHES
CLOTHES_Skirt_Long_Maxi,"1girl, (long skirt:1.2), maxi skirt, floor-length skirt, flowing long skirt, ankle skirt, full skirt","miniskirt, micro skirt, shorts",Long maxi skirt. Combos: ARCHETYPE_Shrine_Maiden; ARCHETYPE_Witch; STYLE_Dark_Gothic. Conflicts: CLOTHES_Skirt_Mini.,CLOTHES
CLOTHES_Slave_Outfit,"1girl, (slave outfit:1.3), (minimal slave clothing:1.2), chain bikini, metal collar, slave loincloth, exposed slave wear, chain harness, submissive attire, harem slave","modern, formal, free clothing, armor",Slave / captive outfit — minimal chains and fabric. Combos: ACCESSORY_Collar_Chain; THEME_BDSM_Submission; CLOTHES_Harem_Outfit; SCENE_Fantasy_Dungeon.,CLOTHES
CLOTHES_Stirrup_Legwear,"1girl, stirrup legwear, (stirrup leggings:1.2), stirrup socks, feet exposed legwear, heelless stockings, toe loop stockings, open foot stockings","full coverage socks, no legwear",Stirrup legwear,CLOTHES
CLOTHES_Thong_Panties,"1girl, (thong:1.3), (g-string:1.3), thong underwear, string panties, minimal underwear, barely covered, string bikini bottom","full coverage panties, boxers, nude",Thong / g-string. Combos: CAMERA_Ass_Focus; ACTION_Self_Wedgie; CLOTHES_Stockings_Garter.,CLOTHES
COMICS_Color_Panel,"full color comic panel, (vibrant saturated colors:1.2), comic book coloring, sequential art panel, comic illustration, BREAK panel composition, ink outlines with color","black and white, grayscale, manga style",Full color comic panel,COMICS
COMICS_Western_Style,"western comic style, (comic book art:1.3), bold outlines, superhero comic aesthetic, comic shading, american comic book, dynamic ink lines, BREAK comic book colors, flat color fills","anime, manga, japanese style, sketch",Western comic book style,COMICS
EXPRESSION_Angry,"(angry expression:1.3), (furious face:1.2), scowling, rage, anger, bared teeth, glaring, aggressive expression, fierce anger, wrathful","calm, happy, neutral, submissive",Angry expression. Combos: ACTION_Angry_Dragon; THEME_Femdom; ARCHETYPE_Demon_Queen. Conflicts: STATE_Ahegao_Extreme.,EXPRESSION
EXPRESSION_Embarrassed,"embarrassed, (blushing:1.3), covering face, shy expression, ashamed, flustered, looking away, red-faced, embarrassed smile","confident, calm, proud, neutral",Embarrassed expression,EXPRESSION
EXPRESSION_Inviting,"(inviting expression:1.3), (come hither look:1.2), beckoning, seductive invitation, bedroom eyes invitation, finger beckoning, flirtatious inviting gaze","rejecting, angry, scared, neutral, distant",Inviting / 'come here' expression. Combos: STATE_Lustful_Face; THEME_Teasing; POSE_Spread_Legs; SCENE_Bedroom.,EXPRESSION
EXPRESSION_Nervous,"(nervous expression:1.3), (anxious face:1.2), biting lip nervously, worried eyes, uncertain, fidgeting, uneasy smile, tense","confident, calm, relaxed, bold",Nervous / anxious expression. Combos: THEME_Virginity; THEME_Student_Teacher; EXPRESSION_Embarrassed; STATE_Blushing_Flushed.,EXPRESSION
FLUIDS_Anal_Creampie,"(anal creampie:1.4), (cum dripping from ass:1.3), cum leaking from anus, semen from asshole, ass dripping cum, anal internal cum","vaginal creampie, clean, dry",Anal creampie. Combos: ACTION_Penetration_Anal; GENITALS_Anus_Focus; POSE_Ass_Up_Face_Down.,FLUIDS
FLUIDS_Cum_Inflation,"(cum inflation:1.4), (inflated belly:1.3), bloated stomach, belly bulge from cum, stomach distension, cum-filled belly, swollen belly, excessive internal cumshot","flat stomach, normal belly, empty",Cum belly inflation,FLUIDS
FLUIDS_Pussy_Juice,"1girl, pussy juice, (dripping pussy:1.3), wet pussy, love juice, female fluids, vaginal secretions, dripping wetness, soaking wet, glistening pussy, excessive wetness","dry, clean, no fluids",Female arousal fluids,FLUIDS
GENITALS_Anal_Gaping,"(anal gaping:1.4), (gaping anus:1.3), stretched asshole, open anus, post-anal gape, wide open anus, gaping rear","tight, closed, intact",Anal gaping. Combos: ACTION_Fisting_Anal; ACTION_Penetration_Anal; GENITALS_Anus_Focus.,GENITALS
GENITALS_Female_Pussy,"1girl, pussy, vagina, cameltoe, slit, labia, no penis, female genitals","futanari, penis, cock, dickgirl, balls, testicles, futa",Strictly female genitals (anti-futa),GENITALS
GENITALS_Pubic_Hair_On_Face,"(pubic hair on face:1.4), (pubes pressed against face:1.3), pubic hair stuck to cheeks, bush against mouth, intimate hair on skin, pubic hair transfer to face, dark curly hair on face","clean face, no hair on face, shaved, bare, paint on face, marking on face, tattoo on face, dirt on face",Pubic hair on face — result of facesitting/oral. Improved negatives block false paint/dirt artifacts. Combos: ACTION_Facesitting; ACTION_Cunnilingus; CAMERA_Face_Close.,GENITALS
GROUP_FFFM,"(3girls:1.2), 1boy, harem, foursome, three girls one boy, group sex, multiple females, FFFM","solo, couple, single female",3 girls 1 boy FFFM,GROUP
GROUP_Lesbian_Threesome,"(3girls:1.3), yuri threesome, three women, lesbian trio, all girls group, 3 girl trio, triple yuri","1boy, male, hetero",Three-girl lesbian threesome. Combos: THEME_Lesbian_Yuri; GROUP_Lesbian_Couple (add third).,GROUP
GROUP_Reverse_Gangbang,"1boy, (multiple females:1.3), (surrounded by girls:1.2), reverse gangbang, many women one man, female horde, group of girls on one guy","solo female, normal gangbang, one girl",Reverse gangbang — multiple females on one male. Combos: THEME_Femdom; GROUP_FFFM.,GROUP
HAIR_Ahoge,"(ahoge:1.4), single antenna hair, cowlick strand, droopy antenna, lone hair strand sticking up, ahoge hair","flat hair, no ahoge, smooth top",Ahoge hair antenna. Combos: any ARCHETYPE for cute quirk. Especially ARCHETYPE_Idol; ARCHETYPE_Catgirl.,HAIR
HAIR_Curly,"(curly hair:1.3), ringlet curls, wavy curls, bouncy curls, tight curls, coiled hair, spiral curls","straight hair, flat, sleek",Curly hair. Combos: RACE_Elf_Female; ARCHETYPE_Witch; BODY_BBW_Plus_Size.,HAIR
HAIR_Pixie_Cut,"(pixie cut:1.3), (short pixie hair:1.2), cropped short feminine hair, textured short layers, elfin short cut, short stylish feminine cut","long hair, braid, bun, buzzcut",Pixie cut — short feminine. Between HAIR_Short_Bob and HAIR_Short_Buzzcut. Combos: ARCHETYPE_Office_Lady; BODY_Petite_Small.,HAIR
HAIR_Side_Ponytail,"(side ponytail:1.3), hair tied to side, off-center ponytail, one side pony, asymmetric hair tie","center ponytail, both sides, down",Side ponytail. Combos: ARCHETYPE_Gyaru; ARCHETYPE_Cheerleader; EXPRESSION_Mischievous.,HAIR
LIGHTING_Backlit_Silhouette,"backlit, (backlighting:1.3), light from behind, glowing outline, rim light, contre-jour, halo effect, bright background, dark foreground, silhouette light","front lit, no backlight, flat light",Backlit silhouette,LIGHTING
LIGHTING_Dramatic_Shadow,"dramatic lighting, strong shadows, contrast lighting, chiaroscuro, (rim lighting:1.2), moody lighting, dark shadows, high contrast","flat lighting, even light, soft",Dramatic shadow lighting,LIGHTING
LIGHTING_Neon_Colorful,"neon lights, colorful lighting, neon glow, vibrant colors, neon signs, cyberpunk lighting, bright colors, electric colors","natural light, monochrome, dim",Neon colorful lighting,LIGHTING
LIGHTING_Screen_Glow,"(screen glow:1.3), (monitor light:1.2), blue screen illumination, device light on face, cold blue screen cast, PC monitor light, phone screen glow","natural light, outdoor, warm",Screen / monitor glow. Combos: SCENE_Bedroom; NTR_Selfie; gaming aesthetic.,LIGHTING
MANGA_Doujin_Modern,"doujinshi style, (manga illustration:1.2), clean linework, modern manga shading, digital manga, manga coloring, professional doujin quality, BREAK digital manga aesthetic, clean shading, manga rendering","rough sketch, western, photograph",Modern color doujin manga,MANGA
MANGA_Multi_Panel,"comic panels, multi-panel layout, (panel borders:1.2), sequential panels, comic page, multiple frames, manga page, story panels, BREAK panel composition, gutters, manga page spread","single image, no panels, no borders",Multi-panel manga page,MANGA
POSE_All_Fours_Display,"1girl, (on all fours:1.3), (presenting on hands and knees:1.2), all fours display, showing off on all fours, not yet penetrated, exhibiting rear","being penetrated, standing, lying",On all fours display — presentation only. Different from POSE_Doggystyle. Combos: ACTION_Showing_Ass; ARCHETYPE_Catgirl.,POSE
POSE_Body_Bent,"body bent, folded body, extreme flexibility, pretzel pose, body contortion, extreme bend","normal posture, rigid",Body bent extreme,POSE
POSE_Full_Nelson,"full nelson, (arms restrained behind head:1.3), helpless, chest thrust out, vulnerable, lifted off ground, held in full nelson","free, unrestrained, standing",Full nelson,POSE
POSE_Leg_Lock,"leg lock, (legs wrapped around waist:1.2), (legs crossed behind back:1.2), mating press, locking partner in, ankles locked","untangled, separate, distance",Leg lock,POSE
POSE_On_Knees,"on knees, kneeling, kneeling position, knees on ground, submissive kneeling, kneeling posture","standing, lying, sitting",Kneeling,POSE
POSE_Seiza,"1girl, (seiza:1.3), (japanese kneeling:1.2), sitting on heels, formal japanese sit, traditional kneel, submissive formal sit","casual sitting, chair, lying",Seiza — Japanese formal kneeling. Combos: ARCHETYPE_Shrine_Maiden; THEME_BDSM_Submission.,POSE
POSE_Spreading_Legs,"1girl, spreading legs, pulling legs apart, holding legs open, open crotch, displaying genitals, legs held wide","closed legs, together",Active motion — character is in the act of pulling legs apart. Combos: CAMERA_From_Below; GROUP_MMF setup. NOTE — DYNAMIC action; see POSE_Spread_Legs for the static held-open version.,POSE
RACE_Alien_Girl,"1girl, (alien girl:1.3), (extraterrestrial:1.2), blue skin alien, green skin alien, antennae, alien features, sci-fi alien, otherworldly","human, earth, fantasy",Alien girl. Combos: SCENE_Spaceship; STYLE_3D_Render; LIGHTING_Bright_Clinical.,RACE
RACE_Dark_Elf_Female,"1girl, dark elf, (dark skin elf:1.3), (pointy ears:1.2), dark purple or black skin, white hair, elven, drow, silver jewelry","human, pale skin, round ears",Dark elf female,RACE
RACE_Fox_Kitsune,"1girl, (kitsune:1.3), fox girl, fox ears, (fox tail:1.2), multiple tails optional, orange fur ears, Japanese fox spirit, fox spirit girl","human, round ears, no tail",Fox spirit / kitsune. Combos: SCENE_Japanese_Night; HAIR_Red_Flame; HAIR_White_Silver; LIGHTING_Night_Moonlit.,RACE
RACE_Mimic_Girl,"1girl, (mimic:1.3), (treasure chest monster:1.2), mimic creature girl, tongue from chest, sharp teeth maw, disguised as object, luring prey, mimic monster girl","normal furniture, human, no monster features",Mimic monster girl — treasure-chest/object lure. Combos: SCENE_Fantasy_Dungeon; THEME_Monster_Girl; STYLE_Dark_Fantasy.,RACE
RACE_Slime_Girl,"1girl, (slime girl:1.3), (translucent body:1.2), gelatinous body, slime body, slime creature girl, see-through slime, gooey body, dripping slime","solid, opaque, normal skin, no slime",Slime girl. Combos: FLUIDS_Pussy_Juice (thematically consistent); transparent clothing implied; LIGHTING adds interesting effects.,RACE
RATING_Hardcore_Explicit,"explicit, hardcore, graphic, uncensored, sexually explicit, pornographic, xxx, adult content, NSFW","censored, softcore, implied, mild",Explicit hardcore rating,RATING
RATING_Uncensored,"uncensored, no censorship, visible genitals, explicit genitals, no mosaic, no bars, fully visible, nothing hidden","censored, mosaic, bars, pixelated",Uncensored rating,RATING
SCENE_Alley_Street,"dark alley, back alley, street, urban, city alley, dirty alley, narrow alley, against wall, outdoor alley","indoor, clean, bedroom",Dark alley setting,SCENE
SCENE_Breeding_Chamber,"(breeding chamber:1.3), (monster breeding pit:1.2), organic walls, fleshy interior, egg sacs, mucus-coated floor, pulsating walls, alien hive interior, biomechanical breeding room","clean, modern, bedroom, outdoor, mechanical",Monster breeding chamber / hive interior. Combos: ACTION_Oviposition; THEME_Monster_Breeding; THEME_Monster_Tentacle; LIGHTING_Dim_Dark.,SCENE
SCENE_Dungeon_Basement,"dungeon, basement, dark room, BDSM dungeon, chains on walls, stone walls, dark dungeon, underground room","bright, outdoor, normal room",Dungeon basement,SCENE
SCENE_Japanese_Night,"feudal japan, japanese architecture, wooden structure, (paper lanterns:1.2), torii gate, japanese garden, wooden floor, BREAK (night sky:1.2), full moon, stars, moonlight, blue night lighting, shadows, night atmosphere","daylight, modern, western architecture",Japanese feudal night scene,SCENE
SCENE_Night_Club,"(nightclub:1.3), (dance club:1.2), club interior, dark club with lights, dance floor, club scene, VIP booth, nightlife setting","strip club, daytime, outdoor",Night club — different from SCENE_Strip_Club. Combos: ARCHETYPE_Gyaru; LIGHTING_Neon_Colorful.,SCENE
SCENE_Rooftop,"(rooftop:1.3), (city rooftop:1.2), building roof, urban rooftop, skyline view, roof at night","indoor, underground, basement",Rooftop urban. Combos: LIGHTING_Night_Moonlit; ARCHETYPE_Kunoichi; SCENE_Alley_Street adjacent.,SCENE
SCENE_Strip_Club,"(strip club:1.3), nightclub, (stage with pole:1.2), neon lights, dark club, strip club interior, lap dance setting, club stage, club chairs","outdoor, bedroom, bright",Strip club scene. Combos: ACTION_Pole_Dance; ACTION_Striptease; ARCHETYPE_Stripper; LIGHTING_Neon_Colorful.,SCENE
