character,copyright,trigger,core_tags,count,url
45_(mdf_an),original,"45 (mdf an), original",,36,https://danbooru.donmai.us/posts?tags=45_(mdf_an)
5-volt,warioware,"5-volt, warioware","1girl, brown eyes, brown hair, short hair, hairclip, yellow apron, red hoodie, long sleeves",90,https://danbooru.donmai.us/posts?tags=5-volt
5pb_(neptunia),neptune_(series),"5pb (neptunia), neptune (series)","1girl, purple eyes, pink eyes, mole under eye, blue hair, long hair, very long hair, medium breasts, navel, tattoo, headphones, bare shoulders",49,https://danbooru.donmai.us/posts?tags=5pb_(neptunia)
61cm_quadruple_(oxygen)_torpedo_mount,kantai_collection,"61cm quadruple (oxygen) torpedo mount, kantai collection",,54,https://danbooru.donmai.us/posts?tags=61cm_quadruple_(oxygen)_torpedo_mount
61cm_quadruple_torpedo_mount,kantai_collection,"61cm quadruple torpedo mount, kantai collection",,92,https://danbooru.donmai.us/posts?tags=61cm_quadruple_torpedo_mount
61cm_triple_torpedo_mount,kantai_collection,"61cm triple torpedo mount, kantai collection",,31,https://danbooru.donmai.us/posts?tags=61cm_triple_torpedo_mount
621_(armored_core_6),armored_core,"621 (armored core 6), armored core","1girl, dark-skinned female, red eyes, yellow eyes, ringed eyes, hair over one eye, white hair, short hair, grey hair, small breasts, freckles",117,https://danbooru.donmai.us/posts?tags=621_(armored_core_6)
66_(roro),vocaloid,"66 (roro), vocaloid","1boy, yellow eyes, pink hair, white jacket, hoodie, katana, android, sheathed, beanie, heart",36,https://danbooru.donmai.us/posts?tags=66_(roro)
6_(reverse:1999),reverse:1999,"6 (reverse:1999), reverse:1999","1boy, blue eyes, colored eyelashes, hair over one eye, blonde hair, long hair, greco-roman clothes, ancient greek clothes, white robe, greco-roman clothes, ancient greek clothes, white robe, long sleeves, circlet, logo",158,https://danbooru.donmai.us/posts?tags=6_(reverse:1999)
6p62_(girls'_frontline),girls'_frontline,"6p62 (girls' frontline), girls' frontline","1girl, blue eyes, hair between eyes, red hair, long hair, breasts, garrison cap, high heels",60,https://danbooru.donmai.us/posts?tags=6p62_(girls'_frontline)
7-tan,os-tan,"7-tan, os-tan","1girl, blue eyes, blue hair, short hair, hairband",116,https://danbooru.donmai.us/posts?tags=7-tan
8-foot_joe,disneyland,"8-foot joe, disneyland","1boy, pale skin, streaked hair, purple hair, suit, suit, dress shirt, black jacket, blue shirt, long sleeves, purple bowtie, bowtie, formal, tentacles, formal",45,https://danbooru.donmai.us/posts?tags=8-foot_joe
88_(vashperado),original,"88 (vashperado), original","1girl, black hair, long hair, red hair, t-shirt, short shorts, elbow pads, sneakers, dog tags",30,https://danbooru.donmai.us/posts?tags=88_(vashperado)
88_flak_(ash_arms),ash_arms,"88 flak (ash arms), ash arms","1girl, yellow eyes, green eyes, hair between eyes, grey hair, long hair, very long hair, two side up, black headwear, long sleeves",53,https://danbooru.donmai.us/posts?tags=88_flak_(ash_arms)
9-volt,warioware,"9-volt, warioware",,66,https://danbooru.donmai.us/posts?tags=9-volt
95-tan,os-tan,"95-tan, os-tan","1girl, brown eyes, long hair, brown hair, half updo",356,https://danbooru.donmai.us/posts?tags=95-tan
96neko,indie_utaite,"96neko, indie utaite","1girl, red eyes, blonde hair, utaite, utaite",54,https://danbooru.donmai.us/posts?tags=96neko
98-tan,os-tan,"98-tan, os-tan","1girl, blue eyes, short hair, blue hair, number hair ornament, bob cut, elbow gloves",329,https://danbooru.donmai.us/posts?tags=98-tan
98se-tan,os-tan,"98se-tan, os-tan","1girl, blue eyes, short hair, blue hair, hair bobbles",257,https://danbooru.donmai.us/posts?tags=98se-tan
9a-91_(bullets_cafe)_(girls'_frontline),girls'_frontline,"9a-91 (bullets cafe) (girls' frontline), girls' frontline","1girl, maid, maid headdress, maid, blue eyes, hair between eyes, white hair, very long hair, grey hair, long hair, ponytail, sidelocks, hairclip, medium breasts, cleavage, apron, white thighhighs, black footwear, knee boots, lace-up boots, waist apron, juliet sleeves, frills, garter straps",60,https://danbooru.donmai.us/posts?tags=9a-91_(bullets_cafe)_(girls'_frontline)
9a-91_(girls'_frontline),girls'_frontline,"9a-91 (girls' frontline), girls' frontline","1girl, blue eyes, hair between eyes, white hair, very long hair, grey hair, long hair, star hair ornament, sidelocks, medium breasts, navel, red scarf, black panties, beret",719,https://danbooru.donmai.us/posts?tags=9a-91_(girls'_frontline)
9s_(nier:automata),nier_(series),"9s (nier:automata), nier (series)","1boy, white hair, short hair, black gloves, black choker, long sleeves, black blindfold",2102,https://danbooru.donmai.us/posts?tags=9s_(nier:automata)
<key>_(blue_archive),blue_archive,"<key> (blue archive), blue archive",,584,https://danbooru.donmai.us/posts?tags=<key>_(blue_archive)
<key>_(robot)_(blue_archive),blue_archive,"<key> (robot) (blue archive), blue archive",,428,https://danbooru.donmai.us/posts?tags=<key>_(robot)_(blue_archive)
a'gen_(the_legend_of_luoxiaohei),luo_xiaohei_zhanji,"a'gen (the legend of luoxiaohei), luo xiaohei zhanji",,43,https://danbooru.donmai.us/posts?tags=a'gen_(the_legend_of_luoxiaohei)
a-37,mahjong_soul,"a-37, mahjong soul","1boy, dark-skinned male, tan, yellow eyes, hair between eyes, white hair, short hair, arm tattoo, black shirt, black pants, black jacket, fingerless gloves, black gloves, cross necklace",33,https://danbooru.donmai.us/posts?tags=a-37
a-545_(girls'_frontline),girls'_frontline,"a-545 (girls' frontline), girls' frontline","1girl, holding gun, blue eyes, aqua eyes, blonde hair, very long hair, long hair, twintails, braided bangs, medium breasts, cleavage, thighs, black footwear, black gloves, bare shoulders, assault rifle",44,https://danbooru.donmai.us/posts?tags=a-545_(girls'_frontline)
a-91_(girls'_frontline),girls'_frontline,"a-91 (girls' frontline), girls' frontline","1girl, yellow eyes, hair between eyes, mole under eye, blonde hair, very long hair, gradient hair, purple hair, large breasts, leather suit, black bodysuit, fingerless gloves, leather pants, elbow gloves, assault rifle, underbarrel grenade launcher, one side up, flask",49,https://danbooru.donmai.us/posts?tags=a-91_(girls'_frontline)
a-chan_(1st_costume)_(hololive),hololive,"a-chan (1st costume) (hololive), hololive","1girl, blue eyes, glasses, black-framed eyewear, blue hair, short hair, purple hair, hair bow, small breasts, collarbone, black shirt, t-shirt, blue bow, virtual youtuber, virtual youtuber, jeans",53,https://danbooru.donmai.us/posts?tags=a-chan_(1st_costume)_(hololive)
a-chan_(2nd_costume)_(hololive),hololive,"a-chan (2nd costume) (hololive), hololive","1girl, office lady, office lady, blue eyes, glasses, black-framed eyewear, blue hair, short hair, swept bangs, hair bow, flat chest, collarbone, black jacket, vertical-striped shirt, open jacket, striped clothes, blue bow, virtual youtuber, virtual youtuber, lanyard, id card",87,https://danbooru.donmai.us/posts?tags=a-chan_(2nd_costume)_(hololive)
a-chan_(hololive),hololive,"a-chan (hololive), hololive","1girl, blue eyes, glasses, black-framed eyewear, short hair, blue hair, purple hair, swept bangs, hair bow, small breasts, collarbone, black shirt, blue bow, virtual youtuber, virtual youtuber",808,https://danbooru.donmai.us/posts?tags=a-chan_(hololive)
a-chan_senpai,little_busters!,"a-chan senpai, little busters!","1girl, blue eyes, hair between eyes, eyelashes, very long hair, brown hair, wavy hair, red hair, purple hair, long hair, sidelocks, large breasts, thighs, little busters! school uniform, school uniform, white shirt",89,https://danbooru.donmai.us/posts?tags=a-chan_senpai
a-cing_(zenless_zone_zero),zenless_zone_zero,"a-cing (zenless zone zero), zenless_zone_zero",1girl,19,https://danbooru.donmai.us/posts?tags=a-cing_%28zenless_zone_zero%29
a-ya_(shuuen_no_shiori),shuuen_no_shiori_project,"a-ya (shuuen no shiori), shuuen no shiori project",,33,https://danbooru.donmai.us/posts?tags=a-ya_(shuuen_no_shiori)
a-yuet_(zenless_zone_zero),zenless_zone_zero,"a-yuet (zenless zone zero), zenless_zone_zero",1girl,19,https://danbooru.donmai.us/posts?tags=a-yuet_%28zenless_zone_zero%29
a.b.a,guilty_gear,"a.b.a, guilty gear","1girl, stitched mouth, bags under eyes, green eyes, hair over one eye, short hair, red hair, long hair, green hair, bandages, fingerless gloves, object through head, key, chain",363,https://danbooru.donmai.us/posts?tags=a.b.a
a.j._(pokemon),pokemon,"a.j. (pokemon), pokemon",,31,https://danbooru.donmai.us/posts?tags=a.j._(pokemon)
a.k.i._(street_fighter),street_fighter,"a.k.i. (street fighter), street fighter","1girl, pale skin, red lips, mole under mouth, red eyes, hair over one eye, short hair, white hair, grey hair, china dress, chinese clothes, tassel earrings, claw (weapon), claw ring",201,https://danbooru.donmai.us/posts?tags=a.k.i._(street_fighter)
a106,atom:_the_beginning,"a106, atom: the beginning",,61,https://danbooru.donmai.us/posts?tags=a106
a2_(nier:automata),nier_(series),"a2 (nier:automata), nier (series)","1girl, mole under mouth, lips, blue eyes, hair between eyes, hair over one eye, white hair, long hair, medium breasts, elbow gloves, black gloves, black thighhighs, black shorts, short shorts, bare shoulders, android, robot joints, tank top, armlet",1190,https://danbooru.donmai.us/posts?tags=a2_(nier:automata)
a_(kyousougiga),kyousougiga,"a (kyousougiga), kyousougiga",,40,https://danbooru.donmai.us/posts?tags=a_(kyousougiga)
a_(naraka),nijisanji,"a (naraka), nijisanji","1girl, horns, virtual_youtuber, red_eyes, pointy_ears, long_hair, hair_ornament, mask, grey_hair, very_long_hair, long_sleeves, mask_on_head, white_hair, solo, pantyhose",60,https://danbooru.donmai.us/posts?tags=a_%28naraka%29
a_(naruto),naruto_(series),"a (naruto), naruto (series)",,59,https://danbooru.donmai.us/posts?tags=a_(naruto)
a_(shiei_no_sona-nyl),shiei_no_sona-nyl,"a (shiei no sona-nyl), shiei no sona-nyl",,39,https://danbooru.donmai.us/posts?tags=a_(shiei_no_sona-nyl)
a_(show_by_rock!!),show_by_rock!!,"a (show by rock!!), show by rock!!","1girl, fox girl, fox ears, fox tail, animal ear fluff, yellow eyes, thick eyebrows, long hair, brown hair, ponytail, high ponytail, hair stick, hair ribbon, obi, shamisen",54,https://danbooru.donmai.us/posts?tags=a_(show_by_rock!!)
a_(xenoblade),xenoblade_chronicles_(series),"a (xenoblade), xenoblade chronicles (series)","1girl, blue eyes, hair between eyes, messy hair, grey hair, long hair, very long hair, white hair, hair intakes, small breasts, armor, cape, single earring",137,https://danbooru.donmai.us/posts?tags=a_(xenoblade)
a_knight_(reverse:1999),reverse:1999,"a knight (reverse:1999), reverse:1999","1boy, armor, ornate armor, armor, blue cape, invisible, gauntlets",66,https://danbooru.donmai.us/posts?tags=a_knight_(reverse:1999)
aa-12_(girls'_frontline),girls'_frontline,"aa-12 (girls' frontline), girls' frontline","1girl, blue eyes, bags under eyes, long hair, grey hair, star hair ornament, ahoge, medium breasts, cleavage, black headwear",502,https://danbooru.donmai.us/posts?tags=aa-12_(girls'_frontline)
aa-12_(smokeless_lollipop)_(girls'_frontline),girls'_frontline,"aa-12 (smokeless lollipop) (girls' frontline), girls' frontline","1girl, bags under eyes, blue eyes, long hair, cone hair bun, grey hair, double bun, ahoge, hairclip, medium breasts, barefoot, collarbone, white shirt, black bikini, black bra, off-shoulder shirt, side-tie bikini bottom, purple choker, nail polish, black nails, star earrings",63,https://danbooru.donmai.us/posts?tags=aa-12_(smokeless_lollipop)_(girls'_frontline)
aa-12_(the_sun_never_rises)_(girls'_frontline),girls'_frontline,"aa-12 (the sun never rises) (girls' frontline), girls' frontline","1girl, blue eyes, bags under eyes, goggles on head, long hair, grey hair, white hair, ahoge, sidelocks, medium breasts, cleavage, thighs, ass, barefoot, sweat, side-tie bikini bottom, white bikini, bare shoulders, shotgun, knee pads, aa-12",42,https://danbooru.donmai.us/posts?tags=aa-12_(the_sun_never_rises)_(girls'_frontline)
aa-2153,hataraku_saibou,"aa-2153, hataraku saibou",,36,https://danbooru.donmai.us/posts?tags=aa-2153
aachin_(splatoon),splatoon_(series),"aachin (splatoon), splatoon (series)",,48,https://danbooru.donmai.us/posts?tags=aachin_(splatoon)
aak_(arknights),arknights,"aak (arknights), arknights","1boy, furry male, cat boy, cat ears, ear piercing, tail, animal ears, yellow eyes, slit pupils, hair over one eye, black hair, short hair, chinese clothes, black nails, yellow sclera",376,https://danbooru.donmai.us/posts?tags=aak_(arknights)
aalto_(wuthering_waves),wuthering_waves,"aalto (wuthering waves), wuthering waves",,38,https://danbooru.donmai.us/posts?tags=aalto_(wuthering_waves)
aang,avatar_legends,"aang, avatar legends","1boy, tattoo, bald, monk",195,https://danbooru.donmai.us/posts?tags=aang
aardwolf_(kemono_friends),kemono_friends,"aardwolf (kemono friends), kemono friends","1girl, animal ears, tail, extra ears, hair between eyes, black eyes, black hair, two-tone hair, long hair, white hair, grey hair, ponytail, high ponytail, elbow gloves, sleeveless shirt, print gloves, print shirt, short shorts, collared shirt, pantyhose, bare shoulders, black necktie",335,https://danbooru.donmai.us/posts?tags=aardwolf_(kemono_friends)
aaron_(pokemon),pokemon,"aaron (pokemon), pokemon",,90,https://danbooru.donmai.us/posts?tags=aaron_(pokemon)
aaron_gruber_(o_natsuo88),original,"aaron gruber (o natsuo88), original","1boy, mature male, wrinkled skin, mustache, thick mustache, beard stubble, mustache stubble, beard, thick eyebrows, grey hair, short hair, arm hair, chest hair, navel hair, scar on cheek, shirt, old man, bara, stubble, muscular male, large pectorals, abs, hairy",61,https://danbooru.donmai.us/posts?tags=aaron_gruber_(o_natsuo88)
aaron_huton_(cyphers),cyphers,"aaron huton (cyphers), cyphers","1boy, mature male, beard, blue eyes, scar across eye, short hair, white hair, navel hair, chest tattoo, thick thighs, navel, arm tattoo, scar on face, bandaid on cheek, chain necklace, bara, muscular male, large pectorals, abs, stomach, chain",89,https://danbooru.donmai.us/posts?tags=aaron_huton_(cyphers)
aaron_wei,eiyuu_densetsu,"aaron wei, eiyuu densetsu","1boy, yellow eyes, hair between eyes, red hair, long hair, low ponytail, ponytail",159,https://danbooru.donmai.us/posts?tags=aaron_wei
aarontsay,indie_virtual_youtuber,"aarontsay, indie virtual youtuber","1girl, cat girl, animal ear fluff, cat ears, animal ears, cat tail, blue eyes, white hair, long hair, grey hair, large breasts, cleavage, thighs, navel, bare shoulders, virtual youtuber, virtual youtuber, midriff, stomach",42,https://danbooru.donmai.us/posts?tags=aarontsay
aatrox,league_of_legends,"aatrox, league of legends","1boy, demon boy, demon, demon wings, horns, glowing eyes, red eyes, muscular male, abs, bara",112,https://danbooru.donmai.us/posts?tags=aatrox
aayla_secura,star_wars,"aayla secura, star wars","1girl, blue skin, lips, pointy ears, brown eyes, blue hair, tentacle hair, large breasts, cleavage, navel, brown pants, single sleeve, alien, jedi, lightsaber, midriff, crop top, blue lightsaber, jedi",38,https://danbooru.donmai.us/posts?tags=aayla_secura
abaddon_(demon)_(haunted_hotel),haunted_hotel,"abaddon (demon) (haunted hotel), haunted_hotel",1girl,13,https://danbooru.donmai.us/posts?tags=abaddon_%28demon%29_%28haunted_hotel%29
abaddon_(haunted_hotel),haunted_hotel,"abaddon (haunted hotel), haunted_hotel","1boy, animification, 1girl, brown_hair, aged_up, orange_hair, long_hair, short_hair, blue_eyes, hetero, shirt, brown_eyes, undercut, lifting_own_clothes, pale_skin, scar",269,https://danbooru.donmai.us/posts?tags=abaddon_%28haunted_hotel%29
abara_hanbee,tokyo_ghoul,"abara hanbee, tokyo ghoul",,41,https://danbooru.donmai.us/posts?tags=abara_hanbee
abarai_ichika,bleach,"abarai ichika, bleach",,60,https://danbooru.donmai.us/posts?tags=abarai_ichika
abarai_renji,bleach,"abarai renji, bleach","1boy, red hair, long hair, ponytail, chest tattoo, forehead tattoo, black kimono",229,https://danbooru.donmai.us/posts?tags=abarai_renji
abbey_(pui_pui_molcar),pui_pui_molcar,"abbey (pui pui molcar), pui pui molcar",,39,https://danbooru.donmai.us/posts?tags=abbey_(pui_pui_molcar)
abby_(toshizou),original,"abby (toshizou), original","1girl, demon girl, demon tail, demon wings, demon wings, pointy ears, red eyes, hair between eyes, grey hair, long hair, very long hair, white hair, twintails, crossed bangs, small breasts, navel, sweat, black panties, bare shoulders, black wings, black wings",59,https://danbooru.donmai.us/posts?tags=abby_(toshizou)
abby_(wuthering_waves),wuthering_waves,"abby (wuthering waves), wuthering waves",,58,https://danbooru.donmai.us/posts?tags=abby_(wuthering_waves)
abby_(za1f0n),original,"abby (za1f0n), original",,49,https://danbooru.donmai.us/posts?tags=abby_(za1f0n)
abe_nana,idolmaster,"abe nana, idolmaster","1girl, rabbit ears, brown eyes, brown hair, orange hair, short hair, ponytail, hair ribbon, medium breasts, large breasts",1364,https://danbooru.donmai.us/posts?tags=abe_nana
abe_no_seimei_(fate),fate/grand_order,"abe no seimei (fate), fate/grand order",,41,https://danbooru.donmai.us/posts?tags=abe_no_seimei_(fate)
abe_no_seimei_(onmyoji),onmyoji,"abe no seimei (onmyoji), onmyoji","1boy, blue eyes, eyeshadow, white hair, long hair, very long hair, japanese clothes, black headwear, long sleeves, kariginu, tate eboshi, kariginu",70,https://danbooru.donmai.us/posts?tags=abe_no_seimei_(onmyoji)
abe_takakazu,kuso_miso_technique,"abe takakazu, kuso miso technique",black hair,260,https://danbooru.donmai.us/posts?tags=abe_takakazu
abe_takaya,ookiku_furikabutte,"abe takaya, ookiku furikabutte",,30,https://danbooru.donmai.us/posts?tags=abe_takaya
abekawa_kinako,acmeholic,"abekawa kinako, acmeholic",,39,https://danbooru.donmai.us/posts?tags=abekawa_kinako
abel_(hazbin_hotel),hazbin_hotel,"abel (hazbin hotel), hazbin_hotel",1girl,17,https://danbooru.donmai.us/posts?tags=abel_%28hazbin_hotel%29
abel_(street_fighter),street_fighter,"abel (street fighter), street fighter","1boy, blue eyes, blonde hair, scar, fingerless gloves, dougi, muscular, alternate form, dougi",52,https://danbooru.donmai.us/posts?tags=abel_(street_fighter)
abel_nightroad,trinity_blood,"abel nightroad, trinity blood","1boy, blue eyes, glowing eyes, red eyes, glasses, long hair, white hair, coat, belt",35,https://danbooru.donmai.us/posts?tags=abel_nightroad
abelia_(ogami_kazuki),original,"abelia (ogami kazuki), original","1girl, pointy ears, hair over eyes, red eyes, thick eyebrows, grey hair, ahoge, burn scar, black dress, white dress, long sleeves, sleeves past wrists",192,https://danbooru.donmai.us/posts?tags=abelia_(ogami_kazuki)
abella_(fear_&_hunger),fear_&_hunger,"abella (fear & hunger), fear & hunger","1girl, red hair, low-tied long hair, very long hair, hair ribbon, large breasts, medium breasts, bare shoulders, yellow overalls, tank top, yellow overalls, brown tank top",80,https://danbooru.donmai.us/posts?tags=abella_(fear_&_hunger)
abeno-shakuji-maya,denonbu,"abeno-shakuji-maya, denonbu","1girl, hair between eyes, long hair between eyes, black eyes, grey eyes, grey hair, very long hair, long hair, bandaged leg, fox mask, black serafuku, black shirt, mask on head, pleated skirt, black skirt, long sleeves, black sailor collar, green neckerchief, bandaged neck",37,https://danbooru.donmai.us/posts?tags=abeno-shakuji-maya
abercrombie_(azur_lane),azur_lane,"abercrombie (azur lane), azur lane","1girl, rabbit ears, blue eyes, hair between eyes, blonde hair, long hair, small breasts, red jacket, black thighhighs, playboy bunny",78,https://danbooru.donmai.us/posts?tags=abercrombie_(azur_lane)
abigail_(final_fight),street_fighter,"abigail (final fight), street fighter",,39,https://danbooru.donmai.us/posts?tags=abigail_(final_fight)
abigail_(stardew_valley),stardew_valley,"abigail (stardew valley), stardew valley","1girl, lips, ear piercing, blue eyes, green eyes, purple hair, long hair, hair ribbon, large breasts, medium breasts, cleavage, navel, choker, purple nails, nail polish, miniskirt",57,https://danbooru.donmai.us/posts?tags=abigail_(stardew_valley)
abigail_williams_(animejapan_2018)_(fate),fate/grand_order,"abigail williams (animejapan 2018) (fate), fate/grand order","1girl, blue eyes, blonde hair, very long hair, parted bangs, hair bow, collarbone, blue dress, black headwear, sleeveless dress, black bow, white bow, bare shoulders, blue bow, forehead, beret, black hat",65,https://danbooru.donmai.us/posts?tags=abigail_williams_(animejapan_2018)_(fate)
abigail_williams_(emerald_float)_(fate),fate/grand_order,"abigail williams (emerald float) (fate), fate/grand order","1girl, blue eyes, blonde hair, long hair, parted bangs, double bun, sidelocks, hair bow, small breasts, thighs, navel, collarbone, black bikini, frilled bikini, orange bow, black bow, bare shoulders, polka dot bow, forehead",397,https://danbooru.donmai.us/posts?tags=abigail_williams_(emerald_float)_(fate)
abigail_williams_(fate),fate_(series),"abigail williams (fate), fate (series)","1girl, blue eyes, blonde hair, very long hair, long hair, parted bangs, hair bow, small breasts, orange bow, black bow, polka dot bow, long sleeves, forehead",11123,https://danbooru.donmai.us/posts?tags=abigail_williams_(fate)
abigail_williams_(festival_outfit)_(fate),fate/grand_order,"abigail williams (festival outfit) (fate), fate/grand order","1girl, maid headdress, blue eyes, blonde hair, very long hair, long hair, butterfly hair ornament, parted bangs, sidelocks, braid, small breasts, black dress, white shirt, black skirt, white dress, sleeves past fingers, long sleeves, forehead, tentacles, teddy bear, keyhole",346,https://danbooru.donmai.us/posts?tags=abigail_williams_(festival_outfit)_(fate)
abigail_williams_(second_ascension)_(fate),fate/grand_order,"abigail williams (second ascension) (fate), fate/grand order","1girl, red eyes, blonde hair, very long hair, parted bangs, small breasts, navel, witch hat, black headwear, black panties, hat bow, revealing clothes, black thighhighs, orange bow, black bow, polka dot bow, bare shoulders, forehead, tentacles, keyhole, teddy bear, black hat",547,https://danbooru.donmai.us/posts?tags=abigail_williams_(second_ascension)_(fate)
abigail_williams_(swimsuit_foreigner)_(fate),fate_(series),"abigail williams (swimsuit foreigner) (fate), fate (series)","1girl, blue eyes, very long hair, blonde hair, parted bangs, sidelocks, twintails, double bun, hair bow, small breasts, thighs, navel, white headwear, white bikini, bare shoulders, white bow, forehead, bonnet, keyhole, miniskirt",1572,https://danbooru.donmai.us/posts?tags=abigail_williams_(swimsuit_foreigner)_(fate)
abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate),fate/grand_order,"abigail williams (swimsuit foreigner) (first ascension) (fate), fate/grand order","1girl, white skin, sharp teeth, red eyes, pink eyes, third eye, very long hair, white hair, parted bangs, double bun, sidelocks, hair bow, small breasts, thighs, navel, collarbone, black bikini, bare shoulders, orange bow, black bow, multiple bows, forehead, tentacles, keyhole",414,https://danbooru.donmai.us/posts?tags=abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate)
abigail_williams_(swimsuit_foreigner)_(second_ascension)_(fate),fate/grand_order,"abigail williams (swimsuit foreigner) (second ascension) (fate), fate/grand order","1girl, blue eyes, blonde hair, very long hair, parted bangs, sidelocks, double bun, twintails, braided bun, small breasts, thighs, covered navel, white one-piece swimsuit, dress swimsuit, white headwear, bare shoulders, orange bow, black bow, multiple bows, forehead, black cat, keyhole, mitre, white hat",241,https://danbooru.donmai.us/posts?tags=abigail_williams_(swimsuit_foreigner)_(second_ascension)_(fate)
